RT,AGE,O/Y,SEX,P/C,TASK,MEAN F0,IT,AGE,O/Y,SEX,P/C,TASK,MEAN F0
'07_CF50_2',50,O,F,C,RT,,'65_PF41_3',41,Y,F,P,IT,
'10_CF51_2',51,O,F,C,RT,,'66_PM33_3',33,Y,M,P,IT,
'12_CF36_1',36,Y,F,C,RT,,'05_CF41_3',41,Y,F,C,IT,
'14_CF49_3',49,O,F,C,RT,,'11_CF44_2',44,Y,F,C,IT,
'16_CF33_4',33,Y,F,C,RT,,'21_CF58_3',58,O,F,C,IT,
'28_CF34_3',34,Y,F,C,RT,,'32_CF22_3',22,Y,F,C,IT,
'29_CF34_3',34,Y,F,C,RT,,'44_CF37_3',37,Y,F,C,IT,
'36_CF59_2',59,O,F,C,RT,,'01_PM58_2',58,O,M,P,IT,
'42_CF53_4',53,O,F,C,RT,,'04_PF50_2',50,O,F,P,IT,
'48_CF34_3',34,Y,F,C,RT,,'07_PM39_4',39,Y,M,P,IT,
'54_CM48_2',48,O,M,C,RT,,'09_PM60_2',60,O,M,P,IT,
'02_PM65_2',65,O,M,P,RT,,'10_PF51_1',51,O,F,P,IT,
'04_PF50_2',50,O,F,P,RT,,'11_PF34_4',34,Y,F,P,IT,
'05_PM53_4',53,O,M,P,RT,,'12_PF68_1',68,O,F,P,IT,
'09_PM60_2',60,O,M,P,RT,,'17_PF44_2',44,Y,F,P,IT,
'11_PF34_4',34,Y,F,P,RT,,'22_PF40_3',40,Y,F,P,IT,
'24_PF56_2',56,O,F,P,RT,,'25_PF36_4',36,Y,F,P,IT,
'44_PF29_3',29,Y,F,P,RT,,'26_PM54_3',54,O,M,P,IT,
'53_PM50_2',50,O,M,P,RT,,'49_PM31_3',31,Y,M,P,IT,
'61_PM59_3',59,O,M,P,RT,,'53_PM50_2',50,O,M,P,IT,
'66_PM33_3',33,Y,M,P,RT,,'56_PM57_4',57,O,M,P,IT,
'71_PM68_1',68,O,M,P,RT,,'58_PM43_3',43,Y,M,P,IT,
'03_CF30_3',30,Y,F,C,RT,,'67_PF54_1',54,O,F,P,IT,
'04_CF57_3',57,O,F,C,RT,,'70_PF51_1',51,O,F,P,IT,
'08_CF42_2',42,Y,F,C,RT,,'71_PM68_1',68,O,M,P,IT,
'13_CF45_2',45,Y,F,C,RT,,'06_CF44_2',44,Y,F,C,IT,
'17_CF55_3',55,O,F,C,RT,,'07_CF50_2',50,O,F,C,IT,
'18_CM64_3',64,O,M,C,RT,,'13_CF45_2',45,Y,F,C,IT,
'19_CF62_4',62,O,F,C,RT,,'16_CF33_4',33,Y,F,C,IT,
'24_CM63_3',63,O,M,C,RT,,'19_CF62_4',62,O,F,C,IT,
'38_CM27_3',27,Y,M,C,RT,,'27_CF63_4',63,O,F,C,IT,
'40_CF59_1',59,O,F,C,RT,,'36_CF59_2',59,O,F,C,IT,
'45_CF40_3',40,Y,F,C,RT,,'39_CM27_3',27,Y,M,C,IT,
'49_CM54_4',54,O,M,C,RT,,'45_CF40_3',40,Y,F,C,IT,
'50_CF46_2',46,Y,F,C,RT,,'47_CF61_2',61,O,F,C,IT,
'53_CF52_1',52,O,F,C,RT,,'50_CF46_2',46,Y,F,C,IT,
'57_CF25_3',25,Y,F,C,RT,,'54_CM48_2',48,O,M,C,IT,
'08_PF37_2',37,Y,F,P,RT,,'03_PF66_3',66,O,F,P,IT,
'12_PF68_1',68,O,F,P,RT,,'08_PF37_2',37,Y,F,P,IT,
'27_PF26_3',26,Y,F,P,RT,,'18_PF33_2',33,Y,F,P,IT,
'50_PF35_3',35,Y,F,P,RT,,'19_PF43_2',43,Y,F,P,IT,
'68_PF43_3',43,Y,F,P,RT,,'21_PM33_3',33,Y,M,P,IT,
'69_PF48_3',48,O,F,P,RT,,'29_PF42_3',42,Y,F,P,IT,
'72_PM53_1',53,O,M,P,RT,,'33_PM19_3',19,Y,M,P,IT,
,,,,,,,'47_PF42_2',42,Y,F,P,IT,
,,,,,,,'51_PF58_2',58,O,F,P,IT,
,,,,,,,'54_PF48_3',48,O,F,P,IT,
,,,,,,,'68_PF43_3',43,Y,F,P,IT,
